Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,No,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,No,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,No,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,No,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,No,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,No,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,No,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,No,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,No,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,No,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,No,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,No,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,No,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,No,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,No,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,No,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,No,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,No,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,No,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,No,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
